sigma_perceptual_noise,alpha_actor,alpha_critic,eta_perceptual_drift,delay_sensitive_update,t2c_delay,t2c_liti,t2c_siti
1,0.01,0.01,0.0,True,1.0,1.0,0.375
1,0.01,0.01,0.0,True,0.7709090909090909,0.7709090909090909,1.0
1,0.01,0.01,0.0,True,0.47157894736842104,0.8673684210526316,1.0
1,0.01,0.01,0.0,True,0.6281481481481481,0.7525925925925926,1.0
1,0.01,0.01,0.0,True,0.5051428571428572,0.6011428571428572,1.0
1,0.01,0.01,0.0,True,0.5972093023255814,0.6753488372093024,1.0
1,0.01,0.01,0.0,True,0.6031164069660861,0.6801099908340972,1.0
1,0.01,0.01,0.0,True,0.7161936560934892,0.7863105175292153,1.0
1,0.01,0.01,0.0,True,0.7210828547990156,0.7899917965545529,1.0
1,0.01,0.01,0.0,True,0.7439759036144578,0.8072289156626505,1.0
1,0.01,0.01,0.0,True,0.8819599109131403,0.8099480326651819,1.0
1,0.01,0.01,0.0,True,0.7756948933419522,0.8345184227537169,1.0
1,0.01,0.01,0.0,True,0.7074985689753864,0.7595878649112765,1.0
1,0.01,0.01,0.0,True,0.709494030699261,0.8681068789084707,1.0
1,0.01,0.01,0.0,True,0.739152628892292,0.8815722307299644,1.0
1,0.01,0.01,0.0,True,0.7633163501621121,0.8309402501157943,1.0
1,0.01,0.01,0.0,True,0.7036880033912675,0.8452734209410768,1.0
1,0.01,0.01,0.0,True,0.7268464243845252,0.857366158655725,1.0
1,0.01,0.01,0.0,True,0.7466473359913012,0.8677056904675606,1.0
1,0.01,0.01,0.0,True,0.8014184397163121,0.9198581560283687,1.0
1,0.01,0.01,0.0,True,0.7536423841059603,0.9251655629139073,1.0
1,0.01,0.01,0.0,True,0.768944099378882,0.9298136645962732,1.0
1,0.01,0.01,0.0,True,0.7286549707602339,0.9339181286549709,1.0
1,0.01,0.01,0.0,True,0.6919889502762431,0.8859116022099447,1.0
1,0.01,0.01,0.0,True,0.6930066079295154,0.9380506607929515,1.0
1,0.01,0.01,0.0,True,0.7090292275574113,0.9412839248434237,1.0
1,0.01,0.01,0.0,True,0.6803075396825397,0.9010416666666665,1.0
1,0.01,0.01,0.0,True,0.6658790170132325,0.8761814744801512,1.0
1,0.01,0.01,0.0,True,0.6620036101083032,0.8817689530685922,1.0
1,0.01,0.01,0.0,True,0.6765975820379966,0.8711139896373057,1.0
1,0.01,0.01,0.0,True,0.6545943708609271,0.8410596026490066,1.0
1,0.01,0.01,0.0,True,0.6610479285134038,0.8440292445166532,1.0
1,0.01,0.01,0.0,True,0.6706787687450672,0.8484609313338596,1.0
1,0.01,0.01,0.0,True,0.708464566929134,0.8488188976377953,1.0
1,0.01,0.01,0.0,True,0.711587147030185,0.8504381694255112,1.0
1,0.01,0.01,0.0,True,0.6888472352389877,0.8224929709465791,1.0
1,0.01,0.01,0.0,True,0.6769647696476966,0.8057813911472449,1.0
1,0.01,0.01,0.0,True,0.6882301656495204,0.7797733217088055,1.0
1,0.01,0.01,0.0,True,0.6895833333333333,0.8111111111111112,1.0
1,0.01,0.01,0.0,True,0.7,0.7859060402684563,1.0
1,0.01,0.01,0.0,True,0.6801948051948051,0.7928571428571428,1.0
1,0.01,0.01,0.0,True,0.690251572327044,0.79937106918239,1.0
1,0.01,0.01,0.0,True,0.6996951219512196,0.7841463414634147,1.0
1,0.01,0.01,0.0,True,0.7085798816568047,0.7869822485207101,1.0
1,0.01,0.01,0.0,True,0.7079098541758727,0.8130799823243482,1.0
1,0.01,0.01,0.0,True,0.7162684218056946,0.805837745027901,1.0
1,0.01,0.01,0.0,True,0.7436080559920012,0.806170547064705,1.0
1,0.01,0.01,0.0,True,0.7440467702837588,0.8065022101810922,1.0
1,0.01,0.01,0.0,True,0.7511437681963121,0.8049355330652987,1.0
1,0.01,0.01,0.0,True,0.7578578173479024,0.8101983002832862,1.0
1,0.01,0.01,0.0,True,0.7395244975699461,0.7904899513989229,1.0
1,0.01,0.01,0.0,True,0.7461922436964035,0.7843338026366312,1.0
1,0.01,0.01,0.0,True,0.7350555347560215,0.7897167103456881,1.0
1,0.01,0.01,0.0,True,0.7588785046728972,0.7900311526479751,1.0
1,0.01,0.01,0.0,True,0.7635630498533724,0.7941104594330399,1.0
1,0.01,0.01,0.0,True,0.7467795801526718,0.776598282442748,1.0
1,0.01,0.01,0.0,True,0.7494393957276053,0.7789448837483772,1.0
1,0.01,0.01,0.0,True,0.7552173411737576,0.7840424305315346,1.0
1,0.01,0.01,0.0,True,0.7772020725388601,0.8059873344847438,1.0
1,0.01,0.01,0.0,True,0.7822172200337647,0.7909960607765898,1.0
1,0.01,0.01,0.0,True,0.7663181067694,0.7749036873968079,1.0
1,0.01,0.01,0.0,True,0.75239633817986,0.7607969843834141,1.0
1,0.01,0.01,0.0,True,0.7688028244356477,0.7771477479405157,1.0
1,0.01,0.01,0.0,True,0.7736461715722216,0.7623337173981355,1.0
1,0.01,0.01,0.0,True,0.7590027700831026,0.7479224376731303,1.0
1,0.01,0.01,0.0,True,0.7638483965014577,0.7346938775510204,1.0
1,0.01,0.01,0.0,True,0.7662221337579619,0.737360668789809,1.0
1,0.01,0.01,0.0,True,0.7707845433255268,0.7268735362997658,1.0
1,0.01,0.01,0.0,True,0.7893762183235868,0.7271929824561405,1.0
